,x_coor,y_coor,frame
814,39,322,117
815,321,330,117
816,377,173,117
817,306,96,117
818,39,322,118
819,320,324,118
820,481,203,118
821,429,194,118
822,251,184,118
823,307,98,118
824,39,322,119
825,321,329,119
826,319,324,119
827,68,242,119
828,428,194,119
829,252,184,119
830,306,95,119
831,39,322,120
832,320,323,120
833,68,243,120
834,427,193,120
835,252,184,120
836,379,172,120
837,308,97,120
838,398,95,120
839,39,322,121
840,321,329,121
841,325,328,121
842,319,325,121
843,320,323,121
844,475,283,121
845,469,281,121
846,426,193,121
847,381,172,121
848,397,95,121
849,39,322,122
850,322,329,122
851,476,282,122
852,470,282,122
853,425,192,122
854,253,185,122
855,246,179,122
856,382,171,122
857,398,35,122
858,239,0,122
859,39,322,123
860,425,193,123
861,357,164,123
862,397,93,123
863,239,0,123
864,311,395,124
865,39,322,124
866,321,328,124
867,319,322,124
868,66,243,124
869,309,94,124
870,239,0,124
871,322,328,125
872,326,324,125
873,473,283,125
874,316,266,125
875,435,198,125
876,310,94,125
877,238,0,125
878,474,283,126
879,316,266,126
880,435,198,126
881,521,92,126
882,398,33,126
883,310,399,127
884,475,283,127
885,316,267,127
886,384,169,127
887,396,92,127
888,397,85,127
889,239,0,127
890,321,326,128
891,326,323,128
892,358,162,128
893,396,92,128
894,397,84,128
895,239,0,128
896,425,327,129
897,324,320,129
898,345,276,129
899,64,243,129
900,421,191,129
901,388,167,129
902,396,92,129
903,397,33,129
904,322,326,130
905,421,191,130
906,389,168,130
907,358,162,130
908,397,93,130
909,240,0,130
910,321,325,131
911,326,322,131
912,314,93,131
913,396,92,131
914,396,82,131
915,312,400,132
916,321,325,132
917,420,190,132
918,391,166,132
919,359,161,132
920,396,81,132
921,241,0,132
922,312,400,133
923,322,325,133
924,324,319,133
925,420,190,133
926,396,80,133
927,397,31,133
928,241,0,133
929,420,331,134
930,322,325,134
931,326,323,134
932,244,285,134
933,420,190,134
934,396,80,134
935,318,270,135
936,420,191,135
937,519,97,135
938,396,80,135
939,397,30,135
940,242,0,135
941,525,377,136
942,419,332,136
943,316,92,136
944,396,80,136
945,525,377,137
946,324,324,137
947,325,323,137
948,328,320,137
949,421,191,137
950,397,162,137
951,396,80,137
952,397,31,137
953,243,0,137
954,525,376,138
955,328,322,138
956,59,243,138
957,433,197,138
958,421,191,138
959,398,161,138
960,318,92,138
961,396,80,138
962,243,0,138
963,325,323,139
964,329,319,139
965,323,317,139
966,477,207,139
967,422,191,139
968,267,186,139
969,318,92,139
970,396,80,139
971,396,29,139
972,244,0,139
973,525,375,140
974,329,321,140
975,58,243,140
976,477,206,140
977,271,200,140
978,265,199,140
979,526,198,140
980,421,191,140
981,397,91,140
982,396,80,140
983,397,28,140
984,244,0,140
985,330,318,141
986,477,206,141
987,422,192,141
988,270,186,141
989,401,160,141
990,397,91,141
991,396,28,141
992,244,0,141
993,330,320,142
994,432,196,142
995,422,192,142
996,271,186,142
997,397,91,142
998,320,91,142
999,396,80,142
1000,396,28,142
1001,245,0,142
1002,326,321,143
1003,331,317,143
1004,329,315,143
1005,328,314,143
1006,492,288,143
1007,486,287,143
1008,432,196,143
1009,422,192,143
1010,272,186,143
1011,519,97,143
1012,397,91,143
1013,396,81,143
1014,396,28,143
1015,245,0,143
1016,414,337,144
1017,326,320,144
1018,476,208,144
1019,276,200,144
1020,270,200,144
1021,423,192,144
1022,274,187,144
1023,397,91,144
1024,397,81,144
1025,396,28,144
1026,245,0,144
1027,328,320,145
1028,329,313,145
1029,334,279,145
1030,423,192,145
1031,275,186,145
1032,519,99,145
1033,397,91,145
1034,397,82,145
1035,396,28,145
1036,245,0,145
1037,329,320,146
1038,333,315,146
1039,329,313,146
1040,334,280,146
1041,423,192,146
1042,276,186,146
1043,408,156,146
1044,397,91,146
1045,397,82,146
1046,396,28,146
1047,333,279,147
1048,274,200,147
1049,431,196,147
1050,424,192,147
1051,277,186,147
1052,519,101,147
1053,323,92,147
1054,397,91,147
1055,397,83,147
1056,396,28,147
1057,246,0,147
1058,330,319,148
1059,333,279,148
1060,430,195,148
1061,412,153,148
1062,397,92,148
